0,지점명,대형마트,주차장,지하철역,학교,편의점,"주유소,충전소",문화시설,관광명소,음식점,카페,주소,위도,경도,DT여부,시도명
730,동탄광장,3,78,0,10,46,1,9,2,930,205,"경기도 화성시 동탄지성로 17, 풍성 위버폴리스  (반송동)",37.204774,127.071884,0,경기도
731,동탄이마트,1,15,0,4,18,1,1,0,167,34,"경기도 화성시 동탄중앙로 376, 동탄이마트 1층 (석우동)",37.214754,127.079887,0,경기도
732,삼송역,4,12,1,2,30,3,2,2,326,85,경기도 고양시 동송로 70 ,37.652382,126.896055,0,경기도
733,원흥역,1,4,1,4,27,1,3,1,232,58,경기도 고양시 덕양구 원흥5로 25 ,37.649538,126.876107,0,경기도
734,스타필드고양3F(티바나),5,12,1,4,31,3,2,4,364,88,경기도 고양시 덕양구 고양대로 1955 (동산동),37.647216,126.895577,0,경기도
735,스타필드고양1FR,5,12,1,4,31,3,2,4,366,90,경기도 고양시 덕양구 고양대로 1955 (동산동),37.64697,126.895523,0,경기도
736,스타필드고양1F고메스트리트,6,12,1,4,35,3,2,5,397,101,경기도 고양시 덕양구 고양대로 1955 (동산동),37.646086,126.893098,0,경기도
737,스타필드고양3F잇토피아,5,13,1,4,31,4,2,4,335,88,경기도 고양시 덕양구 고양대로 1955 (동산동),37.647983,126.896489,0,경기도
738,고양삼송,3,5,0,5,14,1,0,2,162,32,경기도 고양시 덕양구 신원동 628-2,37.663813,126.891317,0,경기도
739,고양DT,3,3,0,3,13,3,0,1,190,25,경기도 고양시 덕양구 호국로 1775 (고양동),37.7095394,126.9052947,1,경기도
740,행신역,4,13,2,11,36,1,3,0,431,58,경기도 고양시 덕양구 충장로 14 (행신동),37.613996,126.834455,0,경기도
741,원당DT,1,25,1,5,37,0,6,2,510,71,경기도 고양시 덕양구 호국로 811 (주교동),37.658155,126.837639,1,경기도
742,화정,2,45,1,10,49,4,3,1,685,122,경기도 고양시 덕양구 화신로272번길 57 (화정동),37.63353224,126.8314538,0,경기도
743,화정역,3,44,1,10,49,5,3,1,684,125,경기도 고양시 덕양구 화신로260번길 57 (화정동),37.6335731,126.8327327,0,경기도
744,신흥역,2,120,2,13,102,2,5,1,1032,149,경기도 성남시 수정구 산성대로 267 (신흥동),37.4412923,127.1464602,0,경기도
745,성남위례,4,19,0,12,50,2,5,2,617,174,경기도 성남시 수정구 위례광장로 104 (창곡동),37.473131,127.141067,0,경기도
746,성남이마트,2,114,2,10,115,1,4,1,1193,156,경기도 성남시 수정구 수정로 201 (태평1동) 신세계쉐덴,37.4442471,127.1414571,0,경기도
747,여주DT,0,4,0,2,14,5,1,3,117,9,경기도 여주시 세종로 358 (점봉동)_1,37.265915,127.638676,1,경기도
748,여주P.아울렛입구,0,11,0,0,1,0,4,3,23,12,경기도 여주시 명품로 360 2004호 (상거동),37.240607,127.612308,0,경기도
749,여주P.아울렛,0,11,0,0,1,0,4,2,26,12,경기도 여주시 명품로 360 2400호 (상거동),37.24272107,127.6126336,0,경기도
750,평택비전,5,17,0,7,52,0,6,3,676,150,경기도 평택시 비전5로 20-24 (비전동),36.998684,127.114062,0,경기도
751,평택서정DT,3,28,0,8,63,7,5,3,683,71,경기도 평택시 경기대로 1353 (서정동),37.066066,127.063519,1,경기도
752,평택안중DT,1,10,0,3,6,2,3,1,56,5,경기도 평택시 안중읍 서동대로 1459 ,36.990698,126.913407,1,경기도
753,평택로데오,2,47,1,10,64,0,1,2,833,157,경기도 평택시 중앙2로 13 (평택동),36.9918478,127.0885041,0,경기도
754,평택AK플라자,2,47,1,4,60,0,1,2,830,147,경기도 평택시 평택로 51 (평택동) 평택역,36.99159,127.08524,0,경기도
755,평택송탄,3,27,0,7,62,6,5,3,680,72,경기도 평택시 관광특구로 38 (서정동),37.066397,127.062939,0,경기도
756,주엽강선,5,88,1,11,86,0,16,1,1252,272,경기도 고양시 일산서구 주엽동 81 ,37.6664601,126.7662096,0,경기도
757,일산가로수길R,5,59,1,7,85,0,9,6,1068,194,경기도 고양시 일산서구 대화동 1050-185,37.6654444,126.7574686,0,경기도
758,일산가구단지,3,17,1,9,29,5,5,1,246,75,경기도 고양시 일산서구 하이파크2로 67 (덕이동),37.699706,126.75709,0,경기도
759,일산덕이DT,2,16,1,6,34,8,4,1,408,83,경기도 고양시 일산서구 탄중로 106 (덕이동),37.69192,126.756991,1,경기도
760,일산후곡,6,23,2,12,51,1,3,1,610,121,경기도 고양시 일산서구 일산로 541 (일산동),37.6773867,126.7675699,0,경기도
761,킨텍스이마트,4,14,0,0,32,0,22,7,225,68,경기도 고양시 일산서구 대화동 킨텍스로 171,37.662238,126.743981,0,경기도
762,일산탄현,4,22,1,11,38,8,5,1,497,99,경기도 고양시 일산서구 일현로 97-11 (일산위브더제니스스퀘어1동147~151),37.695265,126.762135,0,경기도
763,대화역,5,52,1,7,52,1,14,0,622,110,"경기도 고양시 일산서구 중앙로 1559, 시티타워 1~2층 (대화동)",37.6753761,126.7481894,0,경기도
764,일산주엽,7,54,1,11,78,0,5,6,1075,213,"경기도 고양시 일산서구 중앙로 1420, 1층 (주엽동)",37.669903,126.762657,0,경기도
765,현대킨텍스,7,49,2,7,78,0,23,7,717,174,경기도 고양시 일산서구 호수로 817 현대백화점 킨텍스점 B1 ,37.668128,126.751207,0,경기도
766,풍무역DT,2,3,1,1,11,2,0,1,77,22,경기도 김포시 김포대로 657 (풍무동),37.610561,126.737493,1,경기도
767,풍무사거리DT,6,10,1,7,34,1,4,3,387,72,경기도 김포시 풍무로 137 ,37.607891,126.723023,1,경기도
768,김포아이앤씨,6,16,0,4,34,1,0,1,505,120,경기도 김포시 태장로 779 (장기동),37.638769,126.680464,0,경기도
769,김포구래,4,12,1,8,67,1,2,4,646,129,"경기도 김포시 김포한강4로 487 (구래동, 한강신도시 반도유보라 4차)",37.645803,126.629073,0,경기도
770,김포장기커낼,6,30,1,6,43,1,0,0,726,165,"경기도 김포시 김포한강2로 41 (장기동, E편한세상 캐널시티)",37.640452,126.677493,0,경기도
771,김포감정DT,2,10,0,4,22,4,0,5,274,42,경기도 김포시 중봉로 27 (감정동),37.624786,126.696429,1,경기도
772,김포운양,6,10,1,4,25,1,1,1,243,95,경기도 김포시 김포한강11로 288-32,37.6543091,126.6841727,0,경기도
773,김포이마트,4,12,1,8,62,1,1,4,593,122,경기도 김포시 김포한강7로 71,37.6443438,126.628299,0,경기도
774,김포풍무DT,4,4,0,7,24,0,4,2,277,43,경기도 김포시 풍무로 45 (풍무동),37.600112,126.720441,1,경기도
775,김포시청,2,39,1,9,31,1,1,3,492,80,경기도 김포시 사우중로 35 (사우동),37.618396,126.717912,0,경기도
776,김포장기,8,28,1,10,42,0,0,0,634,121,"경기도 김포시 김포한강4로 117, 홍우프라자 102~105호 (장기동)",37.644239,126.667908,0,경기도
777,부천상동역,10,87,2,13,76,0,6,5,1348,278,경기도 부천시 길주로 105 (상동),37.50621,126.75427,0,경기도
778,스타필드부천,3,3,0,5,15,3,1,9,116,28,경기도 부천시 옥길동 768 스타필드시티부천 ,37.461754,126.81328,0,경기도
779,부천옥길,1,6,0,5,20,3,1,5,186,47,경기도 부천시 옥길로 118 (옥길동),37.467726,126.823388,0,경기도
780,부천심곡DT,3,94,1,11,125,4,7,3,1737,322,경기도 부천시 부천로 97 (심곡동),37.492932,126.78441,1,경기도
781,뉴코아부천4층,11,92,2,15,83,0,5,4,1404,293,경기도 부천시 송내대로 239 (상동),37.504279,126.756992,0,경기도
782,중동이마트,9,91,2,16,95,1,6,3,1376,305,경기도 부천시 석천로 188 (중동),37.504022,126.763939,0,경기도
783,부천중동DT,4,68,1,18,78,2,5,7,1162,218,경기도 부천시 부흥로 193 (중동),37.4963743,126.7642,1,경기도
784,부천신중동역,7,92,2,14,89,1,3,3,1316,269,경기도 부천시 길주로 281 (중동) 동화빌딩,37.5037646,126.7741439,0,경기도
785,역곡역DT,2,45,1,10,62,3,2,3,711,106,경기도 부천시 경인로 485,37.4835239,126.8093104,1,경기도
786,부천중동,5,97,1,15,102,4,3,3,1456,278,경기도 부천시 신흥로 161 (중동),37.497976,126.77702,0,경기도
787,부천시청역,10,93,2,16,89,0,6,3,1428,319,"경기도 부천시 길주로 181, 102,103,104,110,111,112호 (중동)",37.505534,126.762448,0,경기도
788,현대중동,10,90,2,14,94,1,6,3,1500,331,"경기도 부천시 길주로 180, 현대백화점부천중동점 중동점 지하1층 (중동)",37.50428252,126.7621682,0,경기도
789,부천플레이도시,5,48,2,23,61,2,4,9,802,162,경기도 부천시 조마루로 2 (상동),37.49991091,126.7449246,0,경기도
790,송내역,1,50,1,11,62,12,3,6,785,147,"경기도 부천시 부일로 204, 루치올라빌딩 (상동)",37.488389,126.752604,0,경기도
791,부천,3,87,1,6,124,3,7,4,1642,293,"경기도 부천시 부천로 7, 1,2층 (심곡동)",37.485054,126.782117,0,경기도
792,부천상동,9,84,2,15,71,0,9,10,1310,264,경기도 부천시 상동로 87 (상동),37.5051779,126.7524236,0,경기도
793,광교갤러리아9F,3,22,1,8,40,0,8,7,317,114,경기도 수원시 영통구 광교호수공원로 320 (하동),37.2850653,127.057266,0,경기도
794,수원법조타운,5,38,1,6,40,1,3,2,418,135,경기도 수원시 영통구 광교중앙로248번길 7-2 (하동),37.29184,127.067164,0,경기도
795,광교역,2,36,1,5,33,6,5,3,255,89,경기도 수원시 영통구 대학로 47 (이의동),37.300082,127.04362,0,경기도
796,광교엘포트R,4,27,1,7,48,0,8,7,487,183,경기도 수원시 영통구 광교중앙로 145 (이의동),37.2869954,127.0577815,0,경기도
797,영통R,6,25,1,11,52,3,1,5,480,97,경기도 수원시 영통구 덕영대로 1566 (영통동),37.2453658,127.0618147,0,경기도
798,수원망포DT,6,24,1,8,45,3,2,4,479,140,경기도 수원시 영통구 덕영대로 1467,37.2458277,127.05134,1,경기도
799,수원광교,4,51,1,7,49,6,9,7,513,182,경기도 수원시 영통구 센트럴타운로 85 (이의동) 광교C1호반베르디움,37.290374,127.049582,0,경기도
800,수원트레이더스,4,21,2,6,29,4,2,2,282,101,경기도 수원시 영통구 삼성로 2 트레이더스수원점 (신동),37.24626,127.047864,0,경기도
801,경희대국제캠퍼스,4,38,1,10,61,2,5,9,857,194,경기도 수원시 영통구 덕영대로 1695 (영통동),37.247951,127.076749,0,경기도
802,수원망포역,8,25,1,10,50,4,2,4,495,108,경기도 수원시 영통구 영통로 195 (망포동),37.245241,127.055904,0,경기도
803,광교이마트,4,46,2,5,45,7,4,5,492,177,경기도 수원시 영통구 광교로 191(이의동),37.2962004,127.0465643,0,경기도
804,수원영통,4,29,2,12,49,3,4,4,812,175,"경기도 수원시 영통구 봉영로 1617, 훼미리타워 1층 (영통동)",37.255675,127.074321,0,경기도
805,안산한양대,0,36,0,8,36,1,2,3,287,88,"경기도 안산시 상록구 성안길 82-3, B동 1층 (사동)",37.300847,126.838212,0,경기도
806,안산한대앞역,3,49,2,5,59,3,3,4,577,104,"경기도 안산시 상록구 광덕1로 379, 한남빌딩 1~2층 (이동)",37.308754,126.851175,0,경기도
807,경기양평,5,22,1,5,23,2,2,1,353,61,경기도 양평군 양평읍 시민로 75 ,37.49134,127.499932,0,경기도
808,용인죽전역R,6,29,3,9,53,7,4,3,590,132,"경기도 용인시 수지구 용구대로 2750 (죽전동, 죽전 효성해링턴 플레이스)",37.3313521,127.1091828,0,경기도
809,죽전단국대,2,22,0,7,44,1,6,0,334,95,경기도 용인시 수지구 죽전로168번길 18 (죽전동),37.3244016,127.1249428,0,경기도
810,수지동천,5,3,0,8,27,1,1,0,259,65,경기도 용인시 수지구 손곡로 ,37.335988,127.09101,0,경기도
811,죽전,4,18,0,11,30,1,2,0,348,110,경기도 용인시 수지구 현암로 140 (죽전동),37.331506,127.12479,0,경기도
812,수지성복DT,6,18,1,11,39,2,1,0,473,106,경기도 용인시 수지구 성복2로 55 (성복동),37.314048,127.079162,1,경기도
813,광교중앙로,5,33,1,7,34,3,1,0,382,93,경기도 용인시 수지구 광교마을로 41 (상현동),37.29882,127.06947,0,경기도
814,죽전CGV,4,25,1,11,51,11,6,4,789,182,"경기도 용인시 수지구 포은대로 536, (주)신세계백화점경기점 8층 (죽전동)",37.32500393,127.1081332,0,경기도
815,죽전이마트,4,18,1,10,47,11,6,3,720,167,"경기도 용인시 수지구 포은대로 552, 이마트 죽전점 1층 (죽전동)",37.3253735,127.1099255,0,경기도
816,신세계경기,4,25,1,11,51,11,6,4,789,182,"경기도 용인시 수지구 포은대로 536, (주)신세계백화점경기점 4층 (죽전동)",37.32500393,127.1081332,0,경기도
817,수지이마트,6,22,1,12,36,2,1,0,460,92,경기도 용인시 수지구 수지로 203 (신봉동),37.31965,127.083677,0,경기도
818,수지풍덕천,2,35,1,9,47,9,6,2,549,100,"경기도 용인시 수지구 수지로296번길 51-11, 비즈마루빌딩 1층 101호 (풍덕천동)",37.322526,127.095525,0,경기도
819,파주P.아울렛1F,1,5,0,1,9,0,0,0,56,11,경기도 파주시 필승로 200 ,37.769578,126.696417,0,경기도
820,파주야당역,4,11,1,6,41,0,3,0,347,84,경기도 파주시 야당동 1066-3,37.712142,126.759475,0,경기도
821,파주금촌역,2,42,1,2,56,7,4,1,731,91,경기도 파주시 문화로 109 (금촌동),37.764081,126.774205,0,경기도
822,파주금릉역,3,24,1,5,28,2,1,0,420,56,"경기도 파주시 금릉역로 84, 청원센트럴타워 1층 (금촌동)",37.752207,126.765613,0,경기도
823,파주운정,6,18,0,10,25,3,0,2,267,69,경기도 파주시 와석순환로 135,37.71203,126.744499,0,경기도
824,파주P.아울렛,1,5,0,1,9,0,0,0,56,11,경기도 파주시 탄현면 필승로 200,37.769578,126.696417,0,경기도
825,지행역,4,35,1,9,53,4,3,0,519,74,경기도 동두천시 지행로 55 (지행동),37.892653,127.053463,0,경기도
